"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterBundle/ModularScifiHallways/Materials/M_SolidColor_Base.M_SolidColor_Base","0","24","24","1","26.297031","0","0"
"/Game/Textures/DecalY.DecalY","0","34","34","1","30.034834","0","0"
"/Game/Textures/DecalX.DecalX","0","34","34","1","23.909088","0","0"
"/Game/Textures/DecalB.DecalB","0","34","34","1","24.826384","0","0"
"/Game/Textures/DecalA1.DecalA1","0","34","34","1","24.158190","0","0"
"/Game/Textures/DecalA.DecalA","0","34","34","1","26.467690","0","0"
"/Game/WarpsPack/Materials/M_Stars.M_Stars","0","26","26","1","12.741989","0","0"
"/Game/WarpsPack/Warps/WhiteWarp/M_WhiteWarpIntensive.M_WhiteWarpIntensive","0","10","10","1","5.097901","0","0"
"/Game/WarpsPack/Warps/WhiteWarp/M_WhiteWarp.M_WhiteWarp","0","10","10","1","4.205076","0","0"
"/Game/WarpsPack/Materials/M_BG.M_BG","0","4","4","1","1.883338","0","0"
"/Game/Mayo_OriginalMaterials/M_GreenLight.M_GreenLight","0","24","24","1","15.633467","0","0"
"/Game/StarterBundle/ModularScifiHallways/Materials/M_Base_2C.M_Base_2C","0","24","24","1","19.346380","0","0"
"/Game/Mayo_OriginalMaterials/M_MetallicSilver.M_MetallicSilver","0","15","15","1","9.811376","0","0"
"/Game/StarterBundle/ModularScifiHallways/Materials/M_Base_Wires.M_Base_Wires","0","24","24","1","16.201235","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","0","33","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","24","1","0.000000","0","0"
